product_name,product_url,product_price,rating,num_reviews,description,asin,manufacturer
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-17,"1,049",4.0,"8,320",,,
ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-18,499,3.9,"1,148",,,
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-19,"1,115",4.4,"6,153",,,
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-20,649,3.6,229,,,
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-21,839,4.3,"4,202",,,
Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-22,843,3.6,912,,,
"Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop Office Travel Bag for Men and Women Gifts, Dark Grey",https://www.amazon.in/Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-23,"1,999",4.4,"3,500",,,
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Black,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-24,859,3.9,"1,025",,,
FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-25,839,4.0,"13,934",,,
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_9_1375464031_1,"1,399",4.3,847,,,
"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",https://www.amazon.in/Lunars-V-Line-Resistant-Bagpack-College/dp/B08BP5CYDV/ref=sr_1_27?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-27,735,4.1,"2,683",,,
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_28?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-28,859,4.0,773,,,
ADISA Light Weight Laptop Backpack 32 Ltrs,https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-29,499,4.0,"6,089",,,
"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)",https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-30,"1,699",4.4,"2,314",,,
ADISA 31 Ltrs Casual Backpack School College Bag Pack,https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-31,399,4.0,205,,,
Half Moon Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men & Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,https://www.amazon.in/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1692653880&sprefix=ba%2Caps%2C283&sr=8-32,649,3.7,93,,,
"HP Essentials Polyester Black, Grey Laptop Backpack",https://www.amazon.in/HP-Essentials-Polyester-Laptop-Backpack/dp/B07GGS4RDV/ref=sr_1_81?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-81,"1,199",4.1,299,,,
Safari Swagpack 35 Ltrs Large Laptop Backpack With 3 Compartments and Raincover - Black (SWAGPACK19CBBLK),https://www.amazon.in/Safari-Swagpack-Backpack-Compartments-Raincover/dp/B09B25QMKY/ref=sr_1_82?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-82,"1,255",3.7,503,,,
"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)",https://www.amazon.in/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-83,"1,099",4.2,"1,459",,,
Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMVV77/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-84,843,4.0,"6,339",,,
"DIVULGE Multi Utility Drawstring Bag (Black , 16 L)",https://www.amazon.in/DIVULGE-Drawstring-Bag-Sports-Utility/dp/B07PXTDBH4/ref=sr_1_85?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-85,145,4.0,"1,158",,,
Martucci Large 35 L Backpack Spacy Unisex/College/School/Travel Backpack with Rain Cover and Reflective Strip,https://www.amazon.in/Martucci-Laptop-Backpack-College-Reflective/dp/B0B7DT6HY3/ref=sr_1_86?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-86,746,4.0,"1,258",,,
F Gear String 11 Ltrs Nylon Black Gym Bag,https://www.amazon.in/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9/ref=sr_1_87?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-87,190,4.0,591,,,
